language,domain,nlp_tasks,value
Basque,Mathematics,optical character recognition,0
Basque,Mathematics,speech recognition,0
Basque,Mathematics,speech segmentation,0
Basque,Mathematics,text-to-speech,0
Basque,Mathematics,word segmentation,0
Basque,Mathematics,lemmatization,0
Basque,Mathematics,morphological segmentation,0
Basque,Mathematics,part-of-speech tagging,0
Basque,Mathematics,stemming,0
Basque,Mathematics,grammar induction,0
Basque,Mathematics,sentence breaking ,0
Basque,Mathematics,parsing,0
Basque,Mathematics,lexical semantics,0
Basque,Mathematics,distributional semantics,0
Basque,Mathematics,named entity recognition,0
Basque,Mathematics,sentiment analysis,0
Basque,Mathematics,terminology extraction,0
Basque,Mathematics,word-sense disambiguation,0
Basque,Mathematics,entity linking,0
Basque,Mathematics,multiword expressions,0
Basque,Mathematics,relationship extraction,0
Basque,Mathematics,semantic parsing,0
Basque,Mathematics,semantic role labelling,0
Basque,Mathematics,coreference resolution,0
Basque,Mathematics,discourse analysis,0
Basque,Mathematics,implicit semantic role labelling,0
Basque,Mathematics,recognizing textual entailment,0
Basque,Mathematics,topic segmentation,0
Basque,Mathematics,argument mining,0
Basque,Mathematics,anaphora resolution,0
Basque,Computer science,optical character recognition,0
Basque,Computer science,speech recognition,0
Basque,Computer science,speech segmentation,0
Basque,Computer science,text-to-speech,0
Basque,Computer science,word segmentation,0
Basque,Computer science,lemmatization,0
Basque,Computer science,morphological segmentation,0
Basque,Computer science,part-of-speech tagging,0
Basque,Computer science,stemming,0
Basque,Computer science,grammar induction,0
Basque,Computer science,sentence breaking ,0
Basque,Computer science,parsing,0
Basque,Computer science,lexical semantics,0
Basque,Computer science,distributional semantics,0
Basque,Computer science,named entity recognition,0
Basque,Computer science,sentiment analysis,0
Basque,Computer science,terminology extraction,0
Basque,Computer science,word-sense disambiguation,0
Basque,Computer science,entity linking,0
Basque,Computer science,multiword expressions,0
Basque,Computer science,relationship extraction,0
Basque,Computer science,semantic parsing,0
Basque,Computer science,semantic role labelling,0
Basque,Computer science,coreference resolution,0
Basque,Computer science,discourse analysis,0
Basque,Computer science,implicit semantic role labelling,0
Basque,Computer science,recognizing textual entailment,0
Basque,Computer science,topic segmentation,0
Basque,Computer science,argument mining,0
Basque,Computer science,anaphora resolution,0
Basque,Physics,optical character recognition,0
Basque,Physics,speech recognition,0
Basque,Physics,speech segmentation,0
Basque,Physics,text-to-speech,0
Basque,Physics,word segmentation,0
Basque,Physics,lemmatization,0
Basque,Physics,morphological segmentation,0
Basque,Physics,part-of-speech tagging,0
Basque,Physics,stemming,0
Basque,Physics,grammar induction,0
Basque,Physics,sentence breaking ,0
Basque,Physics,parsing,0
Basque,Physics,lexical semantics,0
Basque,Physics,distributional semantics,0
Basque,Physics,named entity recognition,0
Basque,Physics,sentiment analysis,0
Basque,Physics,terminology extraction,0
Basque,Physics,word-sense disambiguation,0
Basque,Physics,entity linking,0
Basque,Physics,multiword expressions,0
Basque,Physics,relationship extraction,0
Basque,Physics,semantic parsing,0
Basque,Physics,semantic role labelling,0
Basque,Physics,coreference resolution,0
Basque,Physics,discourse analysis,0
Basque,Physics,implicit semantic role labelling,0
Basque,Physics,recognizing textual entailment,0
Basque,Physics,topic segmentation,0
Basque,Physics,argument mining,0
Basque,Physics,anaphora resolution,0
Basque,Chemistry,optical character recognition,0
